"id_invoice","id_distributor","id_cabang","cabang_sales","tanggal","id_customer","nama","id_barang","nama_barang","kemasan","jumlah_barang","harga","kode_lini","lini","brand_id","id_group","group"
IN5997,TD,CAB01,Aceh,"2022-01-20",CUST55380,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,1,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6297,TD,CAB01,Kuningan,"2022-01-20",CUST55381,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,5,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6155,TA,CAB02,Jakarta,"2022-01-21",CUST55382,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,9,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6144,EPM,CAB03,Bandung,"2022-01-22",CUST55383,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,13,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6280,TD,CAB04,Tangerang,"2022-01-23",CUST55384,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,1,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6052,TA,CAB05,Bekasi,"2022-01-23",CUST55385,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,5,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6089,EPM,CAB06,Padang,"2022-01-25",CUST55386,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,9,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6251,TD,CAB07,Aceh,"2022-01-23",CUST55387,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,1,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6036,TA,CAB08,Kuningan,"2022-01-27",CUST55388,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,23,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6029,EPM,CAB09,Jakarta,"2022-01-28",CUST55389,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,4,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6190,TD,CAB10,Bandung,"2022-01-23",CUST55390,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,2,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6287,TD,CAB01,Tangerang,"2022-01-30",CUST55391,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,17,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6102,TA,CAB01,Bekasi,"2022-01-31",CUST55392,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,11,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6301,EPM,CAB02,Padang,"2022-01-02",CUST55393,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,12,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6024,TD,CAB03,Lampung,"2022-01-27",CUST55394,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,12,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6184,TA,CAB04,Aceh,"2022-01-28",CUST55395,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,25,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6307,EPM,CAB05,Kuningan,"2022-01-23",CUST55396,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,14,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6245,TD,CAB06,Jakarta,"2022-01-30",CUST55397,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,34,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6195,TA,CAB07,Bandung,"2022-01-31",CUST55398,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,67,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6023,EPM,CAB08,Tangerang,"2022-01-02",CUST55399,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,15,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6113,TD,CAB09,Bekasi,"2022-01-27",CUST55400,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,12,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6141,TD,CAB10,Padang,"2022-01-28",CUST55401,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,25,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6125,TA,CAB01,Aceh,"2022-01-23",CUST55402,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,14,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6176,EPM,CAB01,Kuningan,"2022-01-30",CUST55403,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,18,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6175,TD,CAB02,Jakarta,"2022-01-31",CUST55404,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,18,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6259,TA,CAB03,Bandung,"2022-01-02",CUST55405,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,19,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6173,EPM,CAB01,Tangerang,"2022-01-27",CUST55406,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,12,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN6013,TD,CAB01,Bekasi,"2022-01-28",CUST55407,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,25,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6086,TD,CAB02,Padang,"2022-01-23",CUST55408,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,14,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6108,TA,CAB03,Lampung,"2022-01-30",CUST55409,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,21,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6321,EPM,CAB04,Aceh,"2022-01-31",CUST55410,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,22,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN5994,TD,CAB05,Kuningan,"2022-01-02",CUST55411,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,12,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6146,TA,CAB06,Jakarta,"2022-01-27",CUST55412,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,25,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6230,EPM,CAB07,Bandung,"2022-01-28",CUST55413,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,14,8700.7,"201",VNS,BRND004,Z32,Apotek
IN5991,TD,CAB08,Tangerang,"2022-01-23",CUST55414,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,24,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6281,TA,CAB09,Bekasi,"2022-01-30",CUST55415,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,10,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6226,EPM,CAB10,Padang,"2022-01-31",CUST55416,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,23,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6063,TD,CAB01,Aceh,"2022-01-02",CUST55417,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,12,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6131,TD,CAB01,Kuningan,"2022-01-27",CUST55418,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,10,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6262,TA,CAB02,Jakarta,"2022-01-28",CUST55419,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,67,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6028,EPM,CAB03,Bandung,"2022-01-23",CUST55420,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,98,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6163,TD,CAB01,Tangerang,"2022-01-30",CUST55421,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,5,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6191,TA,CAB01,Bekasi,"2022-01-31",CUST55422,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,4,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6274,EPM,CAB02,Padang,"2022-01-02",CUST55423,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,8,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6003,TD,CAB03,Lampung,"2022-01-27",CUST55424,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,9,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6247,TA,CAB04,Aceh,"2022-01-28",CUST55425,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,10,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6311,EPM,CAB05,Kuningan,"2022-01-23",CUST55426,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,7,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6248,TD,CAB06,Jakarta,"2022-01-30",CUST55427,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,100,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6042,TD,CAB07,Bandung,"2022-01-31",CUST55428,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,67,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6133,TA,CAB08,Tangerang,"2022-01-02",CUST55429,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,78,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6306,EPM,CAB09,Bekasi,"2022-01-27",CUST55430,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,45,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6253,TD,CAB10,Padang,"2022-01-28",CUST55431,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,34,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN5980,TA,CAB01,Aceh,"2022-01-23",CUST55432,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,20,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6104,EPM,CAB01,Kuningan,"2022-01-30",CUST55433,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,45,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6050,TD,CAB02,Jakarta,"2022-01-31",CUST55434,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,34,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6054,TD,CAB03,Bandung,"2022-01-02",CUST55435,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,34,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6219,TA,CAB01,Tangerang,"2022-01-27",CUST55436,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,34,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN6053,EPM,CAB01,Bekasi,"2022-01-28",CUST55437,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,44,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6217,TD,CAB02,Padang,"2022-01-23",CUST55438,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,5,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6323,TA,CAB03,Lampung,"2022-01-30",CUST55439,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,6,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6241,EPM,CAB04,Aceh,"2022-01-31",CUST55440,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,79,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6134,TD,CAB05,Kuningan,"2022-01-02",CUST55441,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,12,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6124,TA,CAB06,Jakarta,"2022-01-27",CUST55442,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,95,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN5981,EPM,CAB07,Bandung,"2022-01-28",CUST55443,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,76,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6220,TD,CAB08,Tangerang,"2022-01-23",CUST55444,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,48,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6122,TD,CAB09,Bekasi,"2022-01-30",CUST55445,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,21,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6255,TA,CAB10,Padang,"2022-01-31",CUST55446,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,22,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6005,EPM,CAB01,Aceh,"2022-01-02",CUST55447,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,12,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6327,TD,CAB01,Kuningan,"2022-01-27",CUST55448,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,25,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6119,TA,CAB02,Jakarta,"2022-01-28",CUST55449,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,14,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6233,EPM,CAB03,Bandung,"2022-01-23",CUST55450,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,24,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6235,TD,CAB01,Tangerang,"2022-01-30",CUST55451,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,10,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6263,TA,CAB01,Bekasi,"2022-01-31",CUST55452,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,130,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6269,EPM,CAB02,Padang,"2022-01-02",CUST55453,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,12,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6188,TD,CAB03,Lampung,"2022-01-27",CUST55454,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,10,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6116,TD,CAB04,Aceh,"2022-01-28",CUST55455,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,67,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6216,TA,CAB05,Kuningan,"2022-01-23",CUST55456,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,98,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6099,EPM,CAB06,Jakarta,"2022-01-30",CUST55457,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,5,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6326,TD,CAB07,Bandung,"2022-01-31",CUST55458,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,4,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6267,TA,CAB08,Tangerang,"2022-01-02",CUST55459,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,8,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6238,EPM,CAB09,Bekasi,"2022-01-27",CUST55460,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,9,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6214,TD,CAB10,Padang,"2022-01-28",CUST55461,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,21,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6318,TD,CAB01,Aceh,"2022-01-23",CUST55462,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,22,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6256,TA,CAB01,Kuningan,"2022-01-30",CUST55463,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,12,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6048,EPM,CAB02,Jakarta,"2022-01-31",CUST55464,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,25,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6120,TD,CAB03,Bandung,"2022-01-02",CUST55465,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,14,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6161,TA,CAB01,Tangerang,"2022-01-27",CUST55466,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,24,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN6292,EPM,CAB01,Bekasi,"2022-01-28",CUST55467,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,10,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6286,TD,CAB02,Padang,"2022-01-23",CUST55468,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,120,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6008,TA,CAB03,Lampung,"2022-01-30",CUST55469,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,12,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6040,EPM,CAB04,Aceh,"2022-01-31",CUST55470,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,10,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6084,TD,CAB05,Kuningan,"2022-01-02",CUST55471,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,67,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6074,TD,CAB06,Jakarta,"2022-01-27",CUST55472,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,98,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6200,TA,CAB07,Bandung,"2022-01-28",CUST55473,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,5,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6065,EPM,CAB08,Tangerang,"2022-01-23",CUST55474,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,4,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6208,TD,CAB09,Bekasi,"2022-01-30",CUST55475,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,8,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6148,TA,CAB10,Padang,"2022-01-31",CUST55476,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,9,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6072,EPM,CAB01,Aceh,"2022-01-02",CUST55477,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,1,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6095,TD,CAB01,Kuningan,"2022-01-27",CUST55478,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,5,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6049,TA,CAB02,Jakarta,"2022-01-28",CUST55479,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,9,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6039,EPM,CAB03,Bandung,"2022-01-23",CUST55480,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,13,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6276,TD,CAB01,Tangerang,"2022-01-30",CUST55481,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,1,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6015,TD,CAB01,Bekasi,"2022-01-31",CUST55482,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,5,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6185,TA,CAB02,Padang,"2022-01-02",CUST55483,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,9,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6258,EPM,CAB03,Lampung,"2022-01-27",CUST55484,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,1,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6070,TD,CAB04,Aceh,"2022-01-28",CUST55485,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,23,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6210,TA,CAB05,Kuningan,"2022-01-23",CUST55486,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,4,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6083,EPM,CAB06,Jakarta,"2022-01-30",CUST55487,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,2,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6322,TD,CAB07,Bandung,"2022-01-31",CUST55488,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,17,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6291,TD,CAB08,Tangerang,"2022-01-02",CUST55489,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,11,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6062,TA,CAB09,Bekasi,"2022-01-27",CUST55490,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,12,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6167,EPM,CAB10,Padang,"2022-01-28",CUST55491,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,12,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6289,TD,CAB01,Aceh,"2022-01-23",CUST55492,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,25,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6305,TA,CAB01,Kuningan,"2022-01-30",CUST55493,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,14,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6079,EPM,CAB02,Jakarta,"2022-01-31",CUST55494,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,34,5648.3,"203",SLCYL,BRND005,Z31,Klinik
